appl_seq_num,price,order_qty,side,transact_time,order_type,bid_appl_seq_num,offer_appl_seq_num
16089100,76800,20000,,20200110145006060,F,16063033,16089085
16089101,76800,20000,,20200110145006060,F,16063036,16089085
16089102,76800,140000,,20200110145006060,F,16076963,16089085
16089103,76800,30000,,20200110145006060,F,16077381,16089085
16089104,76800,90000,,20200110145006060,F,16078651,16089085
16089105,76800,10000,,20200110145006060,F,16080488,16089085
16089106,76800,60000,,20200110145006060,F,16080727,16089085
16089107,76800,110000,,20200110145006060,F,16084221,16089085
16089356,77000,40000,2,20200110145006240,2,,
16089682,0,30000,,20200110145006390,4,0,15696927
16089919,76900,730000,2,20200110145006470,2,,
16090152,76800,260000,1,20200110145006550,2,,
16090153,76800,260000,,20200110145006550,F,16090152,16089085
16090154,76800,10000,1,20200110145006550,2,,
16090155,76800,10000,,20200110145006550,F,16090154,16089085
16091539,76700,10000,2,20200110145007140,2,,
16091540,76700,10000,,20200110145007140,F,14924919,16091539
16091707,76800,10000,1,20200110145007230,2,,
16091708,76800,10000,,20200110145007230,F,16091707,16089085
16091720,0,10000,,20200110145007240,4,16080748,0
16091747,76800,10000,1,20200110145007250,2,,
16091748,76800,10000,,20200110145007250,F,16091747,16089085
16091771,76600,40000,1,20200110145007270,2,,
16092932,0,250000,,20200110145008020,4,0,99400
16093906,76800,10000,1,20200110145008740,2,,
16093907,76800,10000,,20200110145008740,F,16093906,16089085
16094059,0,150000,,20200110145008870,4,0,99413
16094308,76800,1530000,1,20200110145009080,2,,
16094309,76800,1530000,,20200110145009080,F,16094308,16089085
16094419,0,10000,,20200110145009160,4,0,16044909
16094423,76800,40000,2,20200110145009170,2,,
16095181,0,600000,,20200110145009570,4,0,15938616
16095182,0,380000,,20200110145009570,4,0,15648188
16095186,0,520000,,20200110145009570,4,0,16088282
16096998,77000,40000,1,20200110145010490,2,,
16096999,76800,40000,,20200110145010490,F,16096998,16089085
16097000,76600,10000,1,20200110145010490,2,,
16097304,76600,10000,1,20200110145010730,2,,
16098244,76800,330000,1,20200110145011400,2,,
16098245,76800,330000,,20200110145011400,F,16098244,16089085
16099221,76700,10000,1,20200110145012180,2,,
16099268,76700,10000,1,20200110145012210,2,,
16099617,0,60000,,20200110145012420,4,14508355,0
16102547,0,100000,,20200110145014040,4,0,16057518
16103759,76800,70000,2,20200110145015070,2,,
16104327,76900,20000,1,20200110145015380,2,,
16104328,76800,20000,,20200110145015380,F,16104327,16089085
